numeroPrecedente,orgaoJulgador,materia,dj,dp,situacao,n_proc,n_trib,tribs,justica,tese_len,n_artigos,numeroRepercussaoGeralSTF,cit_stj_ctx,cit_any,window_strict,teseFirmada,questaoSubmetidaAJulgamento,referenciaLegislativa,Assuntos
1218,S3,Contrabando ou descaminho,2024-02-28,2024-03-05,Trânsito em Julgado,3,1,TRF3,Justiça Federal,575,0,,9,9,True,"A reiteração da conduta delitiva obsta a aplicação do princípio da insignificância ao crime de descaminho - independentemente do valor do tributo não recolhido -, ressalvada a possibilidade de, no caso concreto, se concluir que a medida é socialmente recomendável. A contumácia pode ser aferida a partir de procedimentos penais e fiscais pendentes de definitividade, sendo inaplicável o prazo previsto no art. 64, I, do CP, incumbindo ao julgador avaliar o lapso temporal transcorrido desde o último evento delituoso à luz dos princípios da proporcionalidade e razoabilidade.","Definir se a reiteração delitiva obsta a incidência do princípio da insignificância ao delito de descaminho, independentemente do valor do tributo não recolhido.",,3574- Contrabando ou descaminho
1139,S3,Direito Penal,2022-08-10,2022-08-18,Trânsito em Julgado,2,1,TJPR,Justiça Estadual,127,0,,3,16,False,"É vedada a utilização de inquéritos e/ou ações penais em curso para impedir a aplicação do art. 33, § 4.º, da Lei n. 11.343/06.","Possibilidade de inquéritos e ações penais em curso serem empregados na análise dos requisitos previstos para a aplicação do art. 33, § 4.º, da Lei n. 11.343/2006.",,"287- DIREITO PENAL, 3603- Crimes Previstos na Legislação Extravagante, 3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas, 3608- Tráfico de Drogas e Condutas Afins"
1105,S1,Auxílio-Acidente (Art. 86),2023-03-07,2023-03-27,Trânsito em Julgado,4,1,TJSP,Justiça Estadual,178,0,,3,7,True,"Continua eficaz e aplicável o conteúdo da Súmula 111/STJ (com a redação modificada em 2006), mesmo após a vigência do CPC/2015, no que tange à fixação de honorários advocatícios.","Definição acerca da incidência, ou não, da Súmula 111/STJ, ou mesmo quanto à necessidade de seu cancelamento, após a vigência do CPC/2015 (art. 85), no que tange à fixação de honorários advocatícios nas ações previdenciárias.",,6107- Auxílio-Acidente (Art. 86)
1182,S1,IRPJ/Imposto de Renda de Pessoa Jurídica,2023-04-26,2023-06-12,Trânsito em Julgado,2,1,TRF4,Justiça Federal,1374,0,843,3,4,True,"1. Impossível excluir os benefícios fiscais relacionados ao ICMS, - tais como redução de base de cálculo, redução de alíquota, isenção, diferimento, entre outros - da base de cálculo do IRPJ e da CSLL, salvo quando atendidos os requisitos previstos em lei (art. 10, da Lei Complementar n. 160/2017 e art. 30, da Lei n. 12.973/2014), não se lhes aplicando o entendimento firmado no ERESP 1.517.492/PR que excluiu o crédito presumido de ICMS das bases de cálculo do IRPJ e da CSLL.2. Para a exclusão dos benefícios fiscais relacionados ao ICMS, - tais como reduçãode base de cálculo, redução de alíquota, isenção, diferimento, entre outros - da base de cálculo do IRPJ e da CSLL não deve ser exigida a demonstração de concessão como estímulo à implantação ou expansão de empreendimentos econômicos.3. Considerando que a Lei Complementar 160/2017 incluiu os §§ 4º e 5º ao art. 30 da Lei 12.973/2014 sem, entretanto, revogar o disposto no seu § 2º, a dispensa de comprovação prévia, pela empresa, de que a subvenção fiscal foi concedida como medida de estímulo à implantação ou expansão do empreendimento econômico não obsta a Receita Federal de proceder ao lançamento do IRPJ e da CSSL se, em procedimento fiscalizatório, for verificado que os valores oriundos do benefício fiscal foram utilizados para finalidade estranha à garantia da viabilidade do empreendimento econômico.","Definir se é possível excluir os benefícios fiscais relacionados ao ICMS, - tais como redução de base de cálculo, redução de alíquota, isenção, imunidade, diferimento, entre outros - da base de cálculo do IRPJ e da CSLL (extensão do entendimento firmado no ERESP 1.517.492/PR que excluiu o crédito presumido de ICMS das bases de cálculo do IRPJ e da CSLL).",,"5933- IRPJ/Imposto de Renda de Pessoa Jurídica, 5946- ICMS/ Imposto sobre Circulação de Mercadorias"
769,S1,Dívida Ativa (Execução Fiscal),2024-04-18,2024-05-09,Trânsito em Julgado,4,2,"TJSP,TRF3","Justiça Estadual,Justiça Federal",1360,0,,3,3,True,"I - A necessidade de esgotamento das diligências como requisito para a penhora de faturamento foi afastada após a reforma do CPC/1973 pela Lei 11.382/2006;II - No regime do CPC/2015, a penhora de faturamento, listada em décimo lugar na ordem preferencial de bens passíveis de constrição judicial, poderá ser deferida após a demonstração da inexistência dos bens classificados em posição superior, ou, alternativamente, se houver constatação, pelo juiz, de que tais bens são de difícil alienação; finalmente, a constrição judicial sobre o faturamento empresarial poderá ocorrer sem a observância da ordem de classificação estabelecida em lei, se a autoridade judicial, conforme as circunstâncias do caso concreto, assim o entender (art. 835, § 1º, do CPC/2015), justificando-a por decisão devidamente fundamentada;III - A penhora de faturamento não pode ser equiparada à constrição sobre dinheiro;IV - Na aplicação do princípio da menor onerosidade (art. 805, parágrafo único, do CPC/2015; art. 620, do CPC/1973): a) autoridade judicial deverá estabelecer percentual que não inviabilize o prosseguimento das atividades empresariais; e b) a decisão deve se reportar aos elementos probatórios concretos trazidos pelo devedor, não sendo lícito à autoridade judicial empregar o referido princípio em abstrato ou com base em simples alegações genéricas do executado.","Definição a respeito: i) da necessidade de esgotamento das diligências como pré-requisito para a penhora do faturamento; ii) da equiparação da penhora de faturamento à constrição preferencial sobre dinheiro, constituindo ou não medida excepcional no âmbito dos processos regidos pela Lei 6.830/1980; e iii) da caracterização da penhora do faturamento como medida que implica violação do princípio da menor onerosidade.",,"6017- Dívida Ativa (Execução Fiscal), 6017- Dívida Ativa (Execução Fiscal)"
1150,S1,Atualização de Conta,2023-09-13,2023-09-21,Trânsito em Julgado,3,2,"TJDFT,TJTO",Justiça Estadual,706,0,,2,7,True,"i) o Banco do Brasil possui legitimidade passiva ad causam para figurar no polo passivo de demanda na qual se discute eventual falha na prestação do serviço quanto a conta vinculada ao Pasep, saques indevidos e desfalques, além da ausência de aplicação dos rendimentos estabelecidas pelo Conselho Diretor do referido programa;ii) a pretensão ao ressarcimento dos danos havidos em razão dos desfalques em conta individual vinculada ao Pasep se submete ao prazo prescricional decenal previsto pelo artigo 205 do Código Civil; eiii) o termo inicial para a contagem do prazo prescricional é o dia em que o titular, comprovadamente, toma ciência dos desfalques realizados na conta individual vinculada ao Pasep.","a) O Banco do Brasil possui, ou não, legitimidade passiva ad causam para figurar no polo passivo de demanda na qual se discute eventual falha na prestação do serviço quanto a conta vinculada ao PASEP, saques indevidos e desfalques, além da ausência de aplicação dos rendimentos estabelecidas pelo Conselho Diretor do referido programa;b) A pretensão ao ressarcimento dos danos havidos em razão dos desfalques em conta individual vinculada ao PASEP se submete ao prazo prescricional decenal previsto pelo artigo 205 do Código Civil ou ao prazo quinquenal estipulado pelo artigo 1° do Decreto n° 20.910/32;c) O termo inicial para a contagem do prazo prescricional é o dia em que o titular toma ciência dos desfalques ou a data do último depósito efetuado na conta individual vinculada ao PASEP.",,"10164- Atualização de Conta, 8843- Assistência Judiciária Gratuita, 10443- Direito de Imagem, 10437- Direito de Imagem, 6042- PASEP"
1059,CE,Aposentadoria Especial (Art. 57/8),2023-11-09,2023-12-21,Trânsito em Julgado,3,1,TRF4,Justiça Federal,407,0,,2,4,True,"A majoração dos honorários de sucumbência prevista no art. 85, § 11, do CPC pressupõe que o recurso tenha sido integralmente desprovido ou não conhecido pelo tribunal, monocraticamente ou pelo órgão colegiado competente. Não se aplica o art. 85, § 11, do CPC em caso de provimento total ou parcial do recurso, ainda que mínima a alteração do resultado do julgamento ou limitada a consectários da condenação.","(im)possibilidade da majoração, em grau recursal, da verba honorária estabelecida na instância recorrida, quando o recurso for provido total ou parcialmente, ainda que em relação apenas aos consectários da condenação.",,"6100- Aposentadoria Especial (Art. 57/8), 6118- Aposentadoria por Tempo de Contribuição (Art. 55/6), 6182- Averbação/Cômputo/Conversão de tempo de serviço especial"
1079,S1,Contribuições para o SEBRAE,2024-03-13,2024-05-02,Acórdão Publicado,2,2,"TRF4,TRF5",Justiça Federal,1004,0,,2,4,True,"i) o art. 1° do Decreto-Lei 1.861/1981 (com a redação dada pelo DL 1.867/1981) definiu que as contribuições devidas ao Sesi, ao Senai, ao Sesc e ao Senac incidem até o limite máximo das contribuições previdenciárias;ii) especificando o limite máximo das contribuições previdenciárias, o art. 4°, parágrafo único, da superveniente Lei 6.950/1981, também especificou o teto das contribuições parafiscais em geral, devidas em favor de terceiros, estabelecendo-o em 20 vezes o maior salário mínimo vigente; eiii) o art. 1°, inciso I, do Decreto-Lei 2.318/1986, expressamente revogou a norma específica que estabelecia teto limite para as contribuições parafiscais devidas ao Sesi, ao Senai, ao Sesc e ao Senac, assim como o seu art. 3° expressamente revogou o teto limite para as contribuições previdenciárias;iv) portanto, a partir da entrada em vigor do art. 1°, 1, do Decreto-Lei 2.318/1986, as contribuições destinadas ao Sesi, ao Senai, ao Sesc e ao Senac não estão submetidas ao teto de vinte salários.","Definir se o limite de 20 (vinte) salários mínimos é aplicável à apuração da base de cálculo de ""contribuições parafiscais arrecadadas por conta de terceiros"", nos termos do art. 4º da Lei n. 6.950/1981, com as alterações promovidas em seu texto pelos arts. 1º e 3º do Decreto-Lei n. 2.318/1986.",,"6045- Contribuições para o SEBRAE, SESC, SENAC, SENAI e outros, 6011- Fato Gerador/Incidência"
1115,S1,Aposentadoria Rural (Art. 48/51),2022-11-23,2022-12-07,Trânsito em Julgado,2,1,TRF4,Justiça Federal,193,0,1362,2,2,False,"O tamanho da propriedade não descaracteriza, por si só, o regime de economia familiar, quando preenchidos os demais requisitos legais exigidos para a concessão da aposentadoria por idade rural.","Definir se o tamanho da propriedade não descaracteriza, por si só, o regime de economia familiar, caso estejam comprovados os demais requisitos para a concessão da aposentadoria por idade rural.",,6098- Aposentadoria Rural (Art. 48/51)
1190,S1,Adicional por Tempo de Serviço,2024-06-20,2024-07-01,Acórdão Publicado - RE Pendente,4,1,TJSP,Justiça Estadual,252,0,,2,2,True,"Na ausência de impugnação à pretensão executória, não são devidos honorários advocatícios sucumbenciais em cumprimento de sentença contra a Fazenda Pública, ainda que o crédito esteja submetido a pagamento por meio de Requisição de Pequeno Valor - RPV.","Possibilidade de fixação de honorários advocatícios sucumbenciais em cumprimento de sentença contra a Fazenda Pública, independentemente de existência de impugnação à pretensão executória, quando o crédito estiver sujeito ao regime da Requisição de Pequeno Valor - RPV.",,10302- Adicional por Tempo de Serviço
