Campo;Descrição;Valores possíveis
numeroUnico;Número único do processo no padrão CNJ;
numeroRegistro;Número de registro do processo no STJ;
descFormaDistribuicao;Forma da distribuição.;"{ ""Distribuição"": ""Escolha do relator ou relatora do processo por sorteio ou por prevenção."", ""Redistribuição"": ""Nova distribuição do processo. Pode decorrer de reconhecimento de incompetência do órgão julgador, declaração de impedimento ou outras situações previstas no regimento interno."", ""Atribuição"": ""Atribuição do processo a um novo relator ou relatora por sucessão no acervo de magistrado ou magistrada que se afastou do órgão julgador."", ""Registro"": ""Registro do processo a Presidente, Vice-Presidente ou presidentes de seções por determinação regimental."" }"
dataHoraDistribuicao;Data e hora da distribuição no formato ISO 8601 (fuso horário de Brasília);
codigoClasse;Código da Classe Processual no STJ;
siglaClasse;Sigla da Classe Processual;
nomeClasse;Nome completo da Classe Processual;
codigoClasseCNJ;Código da Classe nas Tabelas Processuais Unificadas do CNJ;
numeroNaClasse;Número sequencial do processo na Classe. A sigla seguida desse número compõe a forma tradicional de referência do processo no Tribunal. Ex. Aresp 100000. ;
codigoDestino;Código do destino do processo imediatamente após a distribuição. ;"{ 1: ""VISTA AO MINISTÉRIO PÚBLICO FEDERAL"", 2: ""CONCLUSÃO AO MINISTRO RELATOR"", 3: ""CONCLUSÃO AO MINISTRO PRESIDENTE"", 4: ""COORDENADORIA DE EXECUÇÃO JUDICIAL"", 5: ""COORDENADORIA DA CORTE ESPECIAL"", 15: ""COORDENADORIA PROCESSANTE"", 18: ""CONCLUSÃO AO MINISTRO VICE-PRESIDENTE"", 19: ""CONCLUSÃO AO MINISTRO VICE-PRESIDENTE NO EXERCÍCIO DA PRESIDÊNCIA"", 20: ""COORDENADORIA DE RECURSOS EXTRAORDINÁRIOS"", 22: ""CONCLUSÃO AO MINISTRO PRESIDENTE DO ÓRGÃO JULGADOR"", 23: ""ASSESSORIA DE ADMISSIBILIDADE, RECURSOS REPETITIVOS E RELEVÂNCIA"", 24: ""CONCLUSÃO AO MINISTRO SUBSTITUTO (Art. 4º da Res. 05/2011)"", 25: ""COORDENADORIA DE PROCESSAMENTO DE FEITOS DE DIREITO PÚBLICO"", 26: ""COORDENADORIA DE PROCESSAMENTO DE FEITOS DE DIREITO PRIVADO"", 27: ""COORDENADORIA DE PROCESSAMENTO DE FEITOS DE DIREITO PENAL"", 28: ""COORDENADORIA DE PROCESSAMENTO DE FEITOS DA CORTE ESPECIAL"" }"
descDestino;Destino do processo imediatamente após a distribuição. ;
codigoOrgaoJulgador;Código do Órgão Julgador. Pode ser nulo em casos como o registro do processo à Presidência. ;"{ ""CE"": ""CORTE ESPECIAL"", ""S1"": ""PRIMEIRA SEÇÃO"", ""S2"": ""SEGUNDA SEÇÃO"", ""S3"": ""TERCEIRA SEÇÃO"", ""T1"": ""PRIMEIRA TURMA"", ""T2"": ""SEGUNDA TURMA"", ""T3"": ""TERCEIRA TURMA"", ""T4"": ""QUARTA TURMA"", ""T5"": ""QUINTA TURMA"", ""T6"": ""SEXTA TURMA"" }"
nomeMinistroRelator;Ministro para o qual foi distribuída relatoria do processo.;
codigoAssuntoCNJ;Código do Assunto nas Tabelas Processuais Unificadas do CNJ;
partes;Conjunto dos dados das partes do processo.;
descTipoParte;Tipo da parte;"[ ""AUTORIDADE CENTRAL"", ""ACUSADO"", ""AGRAVO RETIDO"", ""AGRAVO REGIMENTAL"", ""AGRAVADO"", ""AGRAVANTE"", ""APELADO"", ""APELANTE"", ""ASSISTIDO(A) POR"", ""ASSISTENTE DE ACUSAÇÃO"", ""ASSISTENTE DO MINISTÉRIO PÚBLICO"", ""ASSISTENTE LITISCONSORCIAL"", ""ASSISTIDO(A) PELO"", ""ASSISTENTE"", ""AUTOR"", ""CURADOR ESPECIAL"", ""COMUNICADO"", ""COMUNICANTE"", ""CORRÉU"", ""CURADOR"", ""DEFENSOR DATIVO"", ""DENOMINAÇÃO ANTERIOR"", ""DEPRECANTE"", ""EMBARGADO"", ""EMBARGANTE"", ""EXCEPTO"", ""EXCIPIENTE"", ""EXECUTADO"", ""EXEQUENTE"", ""FORMADORA DO"", ""HERDEIROS DE"", ""IMPETRADO"", ""IMPETRANTE"", ""IMPUGNADO"", ""IMPUGNANTE"", ""INDICIADO"", ""INTERESSADO"", ""INTERPELADO"", ""INTERPELANTE"", ""INVESTIGADO"", ""JUSTIÇA ROGANTE"", ""LITISCONSORTE"", ""LITISCONSORTE PASSIVO"", ""LITISCONSORTE ATIVO"", ""MENOR IMPÚBERE"", ""MANTENEDORA"", ""NOTICIADO"", ""NOTICIANTE"", ""OU"", ""OUTRO NOME"", ""PACIENTE"", ""PARTE"", ""PARTE AUTORA"", ""PARTE RÉ"", ""PARTES"", ""POR INCORPORAÇÃO"", ""QUERELADO"", ""QUERELANTE"", ""RECURSO ADESIVO"", ""RECLAMADO"", ""RECLAMANTE"", ""RECORRENTE"", ""RECORRIDO"", ""REMETENTE EX OFFICIO"", ""REMETENTE"", ""REPRESENTADO"", ""REPRESENTADO POR"", ""REPRESENTANDO"", ""REPRESENTANTE"", ""REPRESENTANTE DA"", ""REQUISITADO"", ""REQUISITANTE"", ""REQUERENTE"", ""REQUERIDO"", ""RÉU"", ""SINDICADO"", ""SÍNDICO"", ""SUCESSOR DE"", ""SUCESSORES DE"", ""SUSCITADO"", ""SUSCITANTE"", ""TRIBUNAL DE ORIGEM"", ""TERCEIRO INTERESSADO"", ""TERCEIRO PREJUDICADO"", ""UNIDADE DA FEDERAÇÃO"", ""VITIMA/LESADO"" ]"
nomeParte;Nome da parte;
numeroCNPJ;Número do CNPJ da parte quando for Pessoa Jurídica e estiver cadastrado no processo. ;
advogados;Conjunto dos dados dos advogados vinculados a parte no processo.;
codigoOAB;Código de Registro do Advogado na Ordem dos Advogados do Brasil;
nomeAdvogado;Nome do Advogado;
